Airport,Month,Dom_Pax_In,Dom_Pax_Out,Int_Pax_In,Int_Pax_Out,Dom_Pax_Total,Int_Pax_Total,Pax_Total,status
ROCKHAMPTON,APR,22060,21837.6,0,0,43897.6,0,43897.6,pre
ROCKHAMPTON,AUG,25142.4,25327,0,0,50469.4,0,50469.4,pre
ROCKHAMPTON,DEC,23453.2,23993.4,0,0,47446.6,0,47446.6,pre
ROCKHAMPTON,FEB,20316.6,20292.2,0,0,40608.8,0,40608.8,pre
ROCKHAMPTON,JAN,21462.8,20126.8,0,0,41589.6,0,41589.6,pre
ROCKHAMPTON,JUL,25994.2,26316.2,0,0,52310.4,0,52310.4,pre
ROCKHAMPTON,JUN,24347.6,24171.8,0,0,48519.4,0,48519.4,pre
ROCKHAMPTON,MAR,24613.4,24959.8,0,0,49573.2,0,49573.2,pre
ROCKHAMPTON,MAY,25586.4,25588,0,0,51174.4,0,51174.4,pre
ROCKHAMPTON,NOV,23970.2,24517.8,0,0,48488,0,48488,pre
ROCKHAMPTON,OCT,25691.4,25678.2,0,0,51369.6,0,51369.6,pre
ROCKHAMPTON,SEP,25094.2,25131.8,0,0,50226,0,50226,pre
SUNSHINE COAST,APR,47211.2,48044.6,0,0,95255.8,0,95255.8,pre
SUNSHINE COAST,AUG,44238,44518.4,1862,1633.4,88756.4,3495.4,92251.8,pre
SUNSHINE COAST,DEC,53569.4,50246.2,127.2,140.2,103815.6,267.4,104083,pre
SUNSHINE COAST,FEB,34125.6,34545.4,159.8,158.2,68671,318,68989,pre
SUNSHINE COAST,JAN,48439.4,53506,231.4,206.2,101945.4,437.6,102383,pre
SUNSHINE COAST,JUL,49736.2,49358.6,1913.2,1359.4,99094.8,3272.6,102367.4,pre
SUNSHINE COAST,JUN,39617.6,37123,55.4,32.8,76740.6,88.2,76828.8,pre
SUNSHINE COAST,MAR,41787.2,40697.2,0,0,82484.4,0,82484.4,pre
SUNSHINE COAST,MAY,37636.4,38107,0,0,75743.4,0,75743.4,pre
SUNSHINE COAST,NOV,48281.2,49404,0,0,97685.2,0,97685.2,pre
SUNSHINE COAST,OCT,52065,54374.2,1496.8,1476.6,106439.2,2973.4,109412.6,pre
SUNSHINE COAST,SEP,51306.4,48937.2,1861.2,1728.2,100243.6,3589.4,103833,pre
SYDNEY,APR,1118062.4,1118296.2,633745.8,653178.4,2236358.6,1286924.2,3523282.8,pre
SYDNEY,AUG,1128539.2,1114054.8,632739.2,642895.8,2242594,1275635,3518229,pre
SYDNEY,DEC,1166027.8,1168658.8,701708.6,821032,2334686.6,1522740.6,3857427.2,pre
SYDNEY,FEB,1033366.8,1033376.6,651930.8,574411.6,2066743.4,1226342.4,3293085.8,pre
SYDNEY,JAN,1115231.4,1113720.6,813845,703530.2,2228952,1517375.2,3746327.2,pre
SYDNEY,JUL,1166948.8,1185961.6,735197.2,649240,2352910.4,1384437.2,3737347.6,pre
SYDNEY,JUN,1041784.6,1033016.6,556672.6,652330.8,2074801.2,1209003.4,3283804.6,pre
SYDNEY,MAR,1163522.8,1151441.4,621202,639753,2314964.2,1260955,3575919.2,pre
SYDNEY,MAY,1085075,1071318.6,565070.2,590288.8,2156393.6,1155359,3311752.6,pre
SYDNEY,NOV,1178680.8,1175471.4,632314.8,647249.6,2354152.2,1279564.4,3633716.6,pre
SYDNEY,OCT,1226132.4,1212057,719644.6,616187.4,2438189.4,1335832,3774021.4,pre
SYDNEY,SEP,1119977,1139500.2,637851,650844,2259477.2,1288695,3548172.2,pre
TOWNSVILLE,APR,63762.8,62732.8,771.4,860.8,126495.6,1632.2,128127.8,pre
TOWNSVILLE,AUG,68621.6,70390.2,867.2,869.8,139011.8,1737,140748.8,pre
TOWNSVILLE,DEC,64076.4,68506.6,956.8,1224.2,132583,2181,134764,pre
TOWNSVILLE,FEB,49818.4,49795.4,1041.8,1020.8,99613.8,2062.6,101676.4,pre
TOWNSVILLE,JAN,59592,55065.4,1273.4,1064,114657.4,2337.4,116994.8,pre
TOWNSVILLE,JUL,76224.2,74210,970,951.8,150434.2,1921.8,152356,pre
TOWNSVILLE,JUN,65740,65311.2,828.8,897,131051.2,1725.8,132777,pre
